SSCC;PRODUCTO;DESCRIPCION;F_CADUC;ESTADO;UNIDS_STO;UNIDS_DES;MOTIVO;   ZONA;ALL;DPL;NIV;LOTE;EMBALAJE
'384105000261696559;36574            ;PERA BLANQUILLA 8/+UN/KG*     ;20221218;40;46;0;   ;E;1;8;2;'00000282            ;PBL
'384105000261636333;33265            ;LECHE DESNATADA BRICK 1L*     ;20221126;10;80;0;   ;E;2;22;0;'2611222F10          ;PBL
'384105000261636340;33265            ;LECHE DESNATADA BRICK 1L*     ;20221126;40;125;0;   ;E;4;8;4;'2611222F10          ;PBL
'384105000261676124;164828           ;CABALLA/VERDEL FILETE C/P S/E ;20240131;10;76;0;   ;M;110;550;0;'22201               ;PBL
'000000000004721208;77240            ;TERNERA TACO GUISAR ELABORADA ;20240229;10;74;4;   ;M;110;89;0;'2207857             ;PBL
'384105000261676155;158103           ;POLLO PECHUGA FILETE 160G IQF ;20240331;10;108;0;   ;M;110;522;0;'4493                ;PBL
'384105000261527389;36315            ;PATATA DADO PREFRITA CONG     ;20240131;10;67;1;   ;M;110;45;0;'1004136352          ;PBL
'384105000261676162;84034            ;POLLO JAMONCITO 120G IQF CONG ;20240131;10;13;9;   ;M;110;123;0;'5436                ;PBL
'384105000261676179;84034            ;POLLO JAMONCITO 120G IQF CONG ;20240131;10;108;0;   ;M;110;123;0;'5436                ;PBL
'384105000261676292;38164            ;SALMON PORCION 80-120G CONG   ;20240531;10;35;10;   ;M;110;65;0;'B22005176           ;PBL
'384105000261583699;36352            ;PATATA STEAKHOUSE 9X18 CONG   ;20230930;10;27;1;   ;M;110;343;0;'1004228912          ;PBL
'384105000261583705;36352            ;PATATA STEAKHOUSE 9X18 CONG   ;20230930;10;36;0;   ;M;110;343;0;'1004230258          ;PBL
'384105000261583712;36352            ;PATATA STEAKHOUSE 9X18 CONG   ;20230930;10;27;0;   ;M;110;343;0;'1004230258          ;PBL
'384105000261676735;10662            ;ZANAHORIA BABY PF CONG        ;20240710;10;20;0;   ;M;110;1;0;'2191                ;PBL
'384105000261676742;10662            ;ZANAHORIA BABY PF CONG        ;20240710;10;72;0;   ;M;110;1;0;'2191                ;PBL
'384105000261676759;10700            ;ZANAHORIA RODAJA PF CONG      ;20240824;10;53;12;   ;M;110;3;0;'2236                ;PBL
'384105000261676773;32383            ;GUISANTE FINO CONG            ;20240804;10;54;0;   ;M;110;16;0;'2216                ;PBL
'384105000261676841;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240829;10;60;0;   ;M;110;63;0;'2241                ;PBL
'384105000261676858;57908            ;JUDIA VERDE PLANA TROZOS PF CO;20240829;10;72;0;   ;M;110;63;0;'2241                ;PBL
'384105000261676872;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20240808;10;27;0;   ;M;110;64;0;'2220                ;PBL
'000000000004721512;57910            ;JUDIA VERDE REDONDA TROZOS PF ;20240808;10;72;0;   ;M;110;64;0;'2220                ;PBL
'384105000261704049;119969           ;POLLO PINCHO MORUNO AMARI CONG;20240409;10;60;0;   ;M;110;525;0;'18773               ;PBL
'384105000261704056;119969           ;POLLO PINCHO MORUNO AMARI CONG;20240411;10;60;0;   ;M;110;525;0;'18784               ;PBL
'384105000261704063;37080            ;POLLO CARCASA CONG            ;20240409;10;60;0;   ;M;110;102;0;'18775               ;PBL
'384105000261704070;37080            ;POLLO CARCASA CONG            ;20240409;10;60;0;   ;M;110;102;0;'18777               ;PBL
'384105000261704087;37080            ;POLLO CARCASA CONG            ;20240411;10;60;0;   ;M;110;102;0;'18788               ;PBL
'384105000261677046;104373           ;BACALAO LOMO C/P TROZO 90-120E;20230820;10;60;0;   ;M;110;526;0;'220322              ;PBL
'000000000004721598;5916             ;ATUN RODAJA S/PIEL S/ESP CONG ;20240505;10;108;0;   ;M;110;394;0;'060922              ;PAZ
'000000000004723639;79976            ;BACALAO FILETE C/P +1000G CONG;20240425;10;21;0;   ;M;110;94;0;'22115               ;PBL
'384105000261679897;79976            ;BACALAO FILETE C/P +1000G CONG;20240425;10;60;0;   ;M;110;94;0;'22115               ;PBL
'384105000261677060;82168            ;CERDO MAGRO TACO GUISAR ELABOR;20240901;10;69;0;   ;M;110;96;0;'13322               ;PBL
'384105000261677077;38020            ;SALCHICHA CERDO 30G CONG*     ;20240930;10;39;3;   ;M;110;59;0;'64372               ;PBL
'384105000261679989;8294             ;CERDO CINTA LOMO FILETE 60G C ;20240325;10;7;1;   ;M;110;314;0;'64499               ;PBL
'384105000261704094;164723           ;MERLUZA FILETE C/P S/E 60-120G;20240531;10;90;0;   ;M;110;549;0;'9D2219              ;PBL
'384105000261704100;164723           ;MERLUZA FILETE C/P S/E 60-120G;20240531;10;90;0;   ;M;110;549;0;'9D2219              ;PBL
'384105000261704117;34216            ;MERLUZA FILETE C/P 120-170GCON;20240531;10;90;0;   ;M;110;278;0;'9D2220              ;PBL
'384105000261704124;34216            ;MERLUZA FILETE C/P 120-170GCON;20240531;10;90;0;   ;M;110;278;0;'9D2220              ;PBL
'384105000261700867;90921            ;HUEVO COCIDO M CUBO GRANDE*   ;20221128;40;55;0;   ;E;3;4;1;'486                 ;PBL
'384105000261700874;32783            ;HUEVO CLARA LIQUIDA 1L*       ;20221203;40;119;0;   ;E;3;15;0;'K67784              ;PBL
'384105000261700881;32812            ;HUEVO LIQUIDO 1L*             ;20221216;10;70;0;   ;E;3;4;0;'B14278              ;PBL
'384105000261630652;84041            ;POLLO CONTRAMUSLO FILETE 90G C;20231231;10;65;2;   ;M;110;128;0;'1 422               ;PBL
'384105000261700898;32812            ;HUEVO LIQUIDO 1L*             ;20221216;40;84;0;   ;E;3;16;1;'B14278              ;PBL
'384105000261700904;32812            ;HUEVO LIQUIDO 1L*             ;20221216;40;74;0;   ;E;3;12;1;'B14278              ;PBL
'384105000261658427;138461           ;F. RAPE S/P PBO 100/150G IQF 5;20231231;10;117;0;   ;M;110;340;0;'B21004882           ;PBL
'384105000261658434;138461           ;F. RAPE S/P PBO 100/150G IQF 5;20240331;10;9;0;   ;M;110;340;0;'B22005031           ;PBL
'384105000261658441;166328           ;POTA TUBO LIMPIO CONG         ;20240630;10;80;0;   ;M;110;335;0;'B22005197           ;PBL
'384105000261658458;68221            ;F. HALIBUT S/P PBO 200/400G IQ;20231031;10;41;9;   ;M;110;336;0;'B21004692           ;PBL
'384105000261666651;34800            ;NARANJA MESA 5/6 UN/KG*       ;20221109;40;29;0;DES;K;0;0;0;'0022363             ;PBL
'384105000261677091;37565            ;QUESO EDAM BARRA KG*          ;20220921;40;44;0;COR;E;4;8;1;'751368              ;PBL
'384105000261646400;138461           ;F. RAPE S/P PBO 100/150G IQF 5;20231031;10;98;3;   ;M;110;340;0;'109                 ;PBL
'384105000261646417;138461           ;F. RAPE S/P PBO 100/150G IQF 5;20231031;10;108;0;   ;M;110;340;0;'109                 ;PBL
'384105000261704131;165718           ;MERLUZA FILETE S/P S/E 30-60G ;20240331;10;60;0;   ;M;110;341;0;'1M2202              ;PBL
'384105000261704148;165718           ;MERLUZA FILETE S/P S/E 30-60G ;20240331;10;12;0;   ;M;110;341;0;'1M2202              ;PBL
'384105000261679040;164723           ;MERLUZA FILETE C/P S/E 60-120G;20240228;10;61;0;   ;M;110;549;0;'2201                ;PBL
'384105000261595197;32420            ;HALIBUT/FLETAN FILETE S/P 400-;20230912;10;1;0;   ;M;110;457;0;'064                 ;PAZ
'384105000261599904;5724             ;TERNERA TACO GUISAR EXTRA CONG;20240321;10;39;0;   ;M;110;205;0;'22111014            ;PAZ
'384105000261599911;5724             ;TERNERA TACO GUISAR EXTRA CONG;20240321;10;64;0;   ;M;110;205;0;'22111015            ;PAZ
'384105000261546076;34302            ;VARITAS DE MERLUZA EMPANADAS C;20230731;10;14;7;   ;M;110;38;0;'72059002            ;PBL
'384105000261708368;105362           ;HAMBURGUESA MIXTA EXTRA 80-90G;20240307;10;2;2;   ;M;110;395;0;'070922              ;PAZ
'384105000261708375;10982            ;TARTA TIRAMISU 1,8KG CONG     ;20230705;10;7;7;   ;M;110;436;0;'18722               ;PAZ
'384105000261708382;152488           ;CANELONES ESPINACAS/PIÑONES UD;20230401;10;1;1;   ;M;110;501;0;'010610              ;PAZ
'384105000261708399;152855           ;ALBONDIGA POLLO MIXTA 25G CONG;20231130;10;2;2;   ;M;110;516;0;'150                 ;PBL
'384105000261708405;31218            ;EMPANADILLAS MINI ATUN CONG*  ;20231230;10;4;4;   ;M;110;453;0;'72186               ;PAZ
'384105000261708412;31774            ;FLAMENQUIN JAMON YORK CONG*   ;20240420;10;1;1;   ;M;110;349;0;'2Z1W206             ;PAZ
'384105000261708429;32067            ;GAMBA ARROCERA CONG           ;20240419;10;8;8;   ;M;110;391;0;'KA6765              ;PAZ
'384105000261708436;32088            ;GAMBA COLA PELADA 110-150 UD/K;20240217;10;4;4;   ;M;110;350;0;'22053               ;PAZ
'384105000261656010;82388            ;VERDURAS GUARNICION MEZCLA TRO;20231101;10;37;6;   ;M;110;98;0;'13322               ;PBL
'384105000261656027;31829            ;FOGONERO FILETE S/P 200-400G  ;20240526;10;9;0;   ;M;110;307;0;'2122                ;PBL
'384105000261708443;32094            ;GAMBA COLA PELADA 20-60 UD/KG ;20240313;10;9;9;   ;M;110;351;0;'22146               ;PAZ
'384105000261708450;32636            ;HELADO VASITO NAT/FRESA 100ML ;20240731;10;1;1;   ;M;110;371;0;'2201                ;PAZ
'000000000004741107;33316            ;LECHE FRITA CONG              ;20240920;10;1;1;   ;M;110;27;0;'38322               ;PBL
'384105000261708467;34071            ;MEJILLON CARNE CONG*          ;20240109;10;1;1;   ;M;110;353;0;'3872201100          ;PAZ
'000000000004706748;77229            ;CERDO AGUJA FILETE 90G ELABOR ;20240224;10;58;0;   ;M;110;82;0;'63421               ;PBL
'384105000261708474;34076            ;MEJILLON COCIDO DOBLE CONCHA C;20240530;10;20;20;   ;M;110;386;0;'C40122145C          ;PAZ
'384105000261708481;34076            ;MEJILLON COCIDO DOBLE CONCHA C;20240901;10;5;5;   ;M;110;386;0;'C40122258C          ;PAZ
'384105000261708498;34286            ;MERLUZA RODAJA C/P 90-120G CON;20230619;10;3;3;   ;M;110;354;0;'KA3164              ;PAZ
'384105000261708504;34286            ;MERLUZA RODAJA C/P 90-120G CON;20230619;10;1;1;   ;M;110;354;0;'KA3983              ;PAZ
'384105000261708511;34293            ;MERLUZA RODAJA C/P 130-180G CO;20230619;10;1;1;   ;M;110;397;0;'KA3983              ;PAZ
'000000000004741114;34960            ;NUGGETS DE POLLO CONG*        ;20240228;10;1;1;   ;M;110;39;0;'22242               ;PBL
'384105000261708528;35038            ;PREPARADO PAELLA MARISCO CONG ;20240122;10;1;1;   ;M;110;427;0;'13422               ;PAZ
'384105000261708535;36516            ;PAVO ROTI KG CONG             ;20240323;10;2;2;   ;M;110;387;0;'29092022            ;PAZ
'384105000261708542;36779            ;PIMIENTO PIQUILLO RELLENO BACA;20241007;10;4;4;   ;M;110;399;0;'40522               ;PAZ
'384105000261708559;37006            ;PLANCHA SAN MARCOS 1,8KG  CONG;20231005;10;3;3;   ;M;110;447;0;'27922               ;PAZ
'384105000261708566;37071            ;POLLO ALAS C/PUNTA CONG       ;20240701;10;1;1;   ;M;110;400;0;'5302                ;PAZ
'384105000261708573;37610            ;CABEZAS DE RAPE               ;20240405;10;8;7;   ;M;110;312;0;'34022               ;PBL
'000000000004741121;37745            ;REVUELTO DE GAMBAS Y AJETES CO;20240730;10;3;3;   ;M;110;414;0;'200722              ;PAZ
'384105000261708580;38262            ;SALTEADO VERDURAS CAMPESTRE CO;20241030;10;9;9;   ;M;110;339;0;'2291                ;PAZ
'384105000261708597;38386            ;SARDINA FILETE C/PIEL CONG*   ;20240316;10;1;1;   ;M;110;295;0;'53722               ;PBL
'384105000261708603;4175             ;GAMBA LANGOSTINERA 30-40 UD/KG;20230809;10;3;3;   ;M;110;393;0;'ALB2861041022       ;PAZ
'384105000261708610;5511             ;ALBONDIGAS BACALAO 25G CONG*  ;20240425;10;2;2;   ;M;110;521;0;'221025              ;PAZ
'384105000261708627;5552             ;ALCACHOFA CORTADA REBOZADA CON;20231030;10;1;1;   ;M;110;375;0;'250422              ;PAZ
'384105000261708634;67983            ;SALTEADO VERDURAS GRILL CONG  ;20240930;10;3;3;   ;M;110;363;0;'2250                ;PAZ
'384105000261708641;6864             ;BOQUERON ENTERO EVISCERADO S/C;20240526;10;1;1;   ;M;110;389;0;'B260522             ;PAZ
'384105000261708658;7411             ;CALAMAR ENTERO LIMPIO MEDIANO ;20240125;10;6;6;   ;M;110;405;0;'2A26                ;PAZ
'384105000261708665;74181            ;PATATA GAJO C/PIEL CONGONG*   ;20240319;10;3;3;   ;M;110;249;0;'220791              ;PBL
'384105000261708672;8061             ;CEBOLLA AROS REBOZADOS CONG*  ;20240330;10;2;2;   ;M;110;379;0;'260922              ;PAZ
'384105000261708689;9001             ;CHOCO/SEPIA ENTERA TROZOS CONG;20240417;10;3;3;   ;M;110;408;0;'14222               ;PAZ
'384105000261708696;91682            ;PATATA GAJO SABORES CONGNG*   ;20240608;10;1;1;   ;M;110;248;0;'221602              ;PBL
'384105000261708702;93334            ;SURIMI PALITO ENTERO CONG*    ;20240430;10;2;2;   ;M;110;380;0;'A2105A2D15          ;PAZ
'384105000261708719;94112            ;EMPANADA CARNE UD MEDIANA CONG;20230813;10;1;1;   ;M;110;368;0;'036306130822        ;PAZ
'384105000261708726;94116            ;LASAÑA VEGETAL S/BECHAMEL UD I;20231130;10;2;2;   ;M;110;390;0;'22180               ;PAZ
'384105000261708733;94120            ;PIZZA REDONDA ATUN UD MEDIANA ;20230822;10;1;1;   ;M;110;467;0;'222422              ;PAZ
'000000000004741138;96192            ;LUBINA ENTERA EVISC C/PIEL    ;20240606;10;3;3;   ;M;110;298;0;'09092210296         ;PBL
'000000000004646952;8102             ;CEBOLLA PERLA CONG            ;20231130;10;1;0;   ;M;110;364;0;'251121              ;PAZ
'384105000261708740;31666            ;FIAMBRE LOMO ADOBADO PIEZA ENT;20230112;40;2;0;   ;E;4;15;0;'221014              ;PBL
'384105000261708757;32947            ;CERDO HUESOS JAMON CORTADOS*  ;20230929;40;1;0;   ;E;4;12;1;'220929              ;PBL
'384105000261708764;90726            ;FIAMBRE YORK LONCHAS UD       ;20221209;40;1;0;   ;E;4;10;1;'221020              ;PBL
'384105000261708771;31650            ;FIAMBRE YORK11X11 SANDWICH    ;20230407;40;1;0;   ;E;4;14;0;'221003              ;PBL
'384105000261708788;32954            ;JAMON CURADO SERRANO LCHAS GRA;20230122;40;3;0;   ;E;4;11;1;'221024              ;PBL
'384105000261708795;32898            ;JAMON YORK 1ª PIEZA           ;20230409;40;2;0;   ;E;4;22;1;'221005              ;PBL
'384105000261708818;33957            ;MARGARINA BARRA 1K. MARGARITAº;20230427;40;40;0;   ;E;4;14;1;'230681              ;PBL
'384105000261708825;33967            ;MARG. 3/4 TARRINA 10G. ASTOR  ;20230531;40;48;0;   ;E;4;23;0;'2172                ;PBL
'384105000261693091;93522            ;TORTILLA FRANCESA UD 75G CONG*;20240407;10;21;12;   ;M;110;171;0;'2280                ;PBL
'000000000004732525;94030            ;TORTILLA FRANCESA UD 85G CONG ;20240407;10;42;2;   ;M;110;184;0;'2280                ;PBL
'384105000261693114;93975            ;CANELONES CARNE UNIDADES CONG*;20240228;10;162;0;   ;M;110;183;0;'22266007            ;PBL
'384105000261693121;7100             ;BUÑUELOS BACALAO CONG*        ;20240331;10;57;3;   ;M;110;376;0;'32277               ;PAZ
'384105000261693138;94115            ;LASAÑA CARNE S/BECHAMEL UD IND;20240228;10;104;0;   ;M;110;185;0;'22248               ;PBL
'384105000261693145;7100             ;BUÑUELOS BACALAO CONG*        ;20240331;10;81;0;   ;M;110;376;0;'32277               ;PAZ
'384105000261693152;30772            ;CROQUETA CASERA BACALAO CONG* ;20240328;10;117;0;   ;M;110;4;0;'21007               ;PBL
'384105000261693169;37090            ;POLLO CONTRAMUSLO S/HUESO CONG;20240228;10;41;1;   ;M;110;52;0;'3469                ;PBL
'384105000261708832;33872            ;MANTEQUILLA PASTILLA 1KG*     ;20230303;40;20;0;   ;E;4;19;0;'2224740             ;PBL
'384105000261708849;4398             ;QUESO SANDW ESCALONADA KG     ;20221216;40;24;0;   ;E;4;21;1;'28805290            ;PBL
'384105000261708856;63186            ;PREP. QUESO RALLADO TIRAS KG  ;20230116;40;112;0;   ;E;4;11;0;'28794291            ;PBL
'384105000261708948;14782            ;PATATA C.DADO BOLSA 4GAMA     ;20221106;10;4;0;   ;E;2;15;0;'301/2022            ;PBL
'384105000261708955;14784            ;PATATA C.PANADERA BOLSA 4GAMA ;20221106;10;2;0;   ;E;2;14;0;'301/2022            ;PBL
'384105000261708979;36308            ;PATATA C.BRAVA BOLSA 4GAMA    ;20221107;10;26;0;   ;E;2;13;0;'301/2022            ;PBL
'384105000261708993;36790            ;PIMIENTO ROJO G               ;20230101;40;5;0;   ;E;1;1;1;'4401                ;PBL
'384105000261709006;6392             ;BERENJENA 1ª                  ;20230101;40;13;0;   ;E;2;11;0;'4401                ;PBL
'384105000261709013;7365             ;CALABAZIN 1ª                  ;20230101;10;16;0;   ;E;2;12;0;'4401                ;PBL
'384105000261709020;36814            ;PIMIENTO VERDE G              ;20230101;40;5;0;   ;E;1;2;1;'4401                ;PBL
'384105000261709044;89197            ;ENSALADA MEZCLUM BOLSA PEQUEÑA;20221105;40;6;0;   ;E;4;25;1;'3122301             ;PBL
'384105000261709051;33332            ;LECH ICEB.C.FINO BOLSA 1 KILO ;20221105;40;6;0;   ;E;4;25;0;'3032299             ;PBL
'384105000261709068;89216            ;LECH ICEBERG CORTE GRUESO 4ª G;20221105;10;17;0;   ;E;3;3;0;'3032299             ;PBL
'384105000261709075;63186            ;PREP. QUESO RALLADO TIRAS KG  ;20230116;40;8;0;   ;E;4;11;0;'28794291            ;PBL
'384105000261709143;65492            ;POLLO CTO. TRASERO 250-325 GR ;20221108;40;3;0;   ;E;5;7;2;'0432                ;PBL
'384105000261709150;31682            ;FIAMBRE YORK LONCHAS UD GRANDE;20221128;40;2;0;   ;E;4;15;1;'175303              ;PBL
'384105000261709167;36476            ;PECHUGA COCIDA PAVO PIEZA ENTE;20230409;40;2;0;   ;E;4;19;1;'101801              ;PBL
'384105000261709174;90668            ;JAMON YORK LONCHAS UD GRANDE* ;20221128;40;1;0;   ;E;4;23;1;'38102               ;PBL
'000000000004732532;84035            ;POLLO JAMONCITO 140G IQF CONG ;20240228;10;10;10;   ;M;110;124;0;'5480                ;PBL
'384105000261693176;84035            ;POLLO JAMONCITO 140G IQF CONG ;20240228;10;108;0;   ;M;110;124;0;'5480                ;PBL
'384105000261704582;10670            ;ZANAHORIA DADO PF CONG        ;20240630;10;26;26;   ;M;110;2;0;'2181                ;PBL
'384105000261704599;33775            ;MAIZ GRANO DULCE PF CONG*     ;20240605;10;77;19;   ;M;110;29;0;'2156                ;PBL
'384105000261704605;34159            ;MENESTRA IMPERIAL PF CONG     ;20240921;10;72;0;   ;M;110;32;0;'2264                ;PBL
'384105000261704612;37326            ;PUERRO RODAJA PF CONG         ;20241007;10;56;0;   ;M;110;57;0;'2280                ;PBL
'384105000261709181;165375           ;HAMBURGUESA SALMON Y CALABAZ 8;20240419;10;126;0;   ;M;110;551;0;'42224               ;PBL
'384105000261704629;5257             ;ACELGA HOJA PORCIONES PF CONG*;20241004;10;64;0;   ;M;110;22;0;'2277                ;PBL
'000000000004738879;5555             ;ALCACHOFA TROZOS CONG         ;20241005;10;64;0;   ;M;110;306;0;'2278                ;PBL
'384105000261704636;7019             ;BROCOLI TROZOS PF CONG*       ;20241013;10;36;36;   ;M;110;218;0;'2286                ;PBL
'384105000261704643;7019             ;BROCOLI TROZOS PF CONG*       ;20241014;10;40;16;   ;M;110;218;0;'2287                ;PBL
'384105000261704650;7019             ;BROCOLI TROZOS PF CONG*       ;20241014;10;40;0;   ;M;110;218;0;'2287                ;PBL
'384105000261704667;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'384105000261704674;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'384105000261704681;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'000000000004738886;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'384105000261704698;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'384105000261704704;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'384105000261704711;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'384105000261704728;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'384105000261704735;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'384105000261704742;7019             ;BROCOLI TROZOS PF CONG*       ;20241024;10;40;0;   ;M;110;218;0;'2297                ;PBL
'000000000004738893;7373             ;CALABACIN DADO CONG*          ;20240922;10;32;17;   ;M;110;206;0;'2265                ;PBL
'384105000261704759;7373             ;CALABACIN DADO CONG*          ;20240922;10;72;0;   ;M;110;206;0;'2265                ;PBL
'384105000261704766;7373             ;CALABACIN DADO CONG*          ;20240922;10;72;0;   ;M;110;206;0;'2265                ;PBL
'384105000261704773;7373             ;CALABACIN DADO CONG*          ;20240922;10;72;0;   ;M;110;206;0;'2265                ;PBL
'384105000261704780;7373             ;CALABACIN DADO CONG*          ;20240922;10;72;0;   ;M;110;206;0;'2265                ;PBL
'384105000261704797;8848             ;CHAMPIÑON LAMINADO PF CONG    ;20241002;10;64;0;   ;M;110;220;0;'2275                ;PBL
'384105000261704803;9547             ;COLIFLOR TROZOS PF CONG       ;20241011;10;48;0;   ;M;110;222;0;'2284                ;PBL
'384105000261704810;9547             ;COLIFLOR TROZOS PF CONG       ;20241011;10;48;0;   ;M;110;222;0;'2284                ;PBL
'384105000261704827;9547             ;COLIFLOR TROZOS PF CONG       ;20241021;10;48;0;   ;M;110;222;0;'2294                ;PBL
'384105000261709198;167900           ;BACALAO FILETE C/P S/E 85+G IQ;20221231;10;135;10;   ;M;110;337;0;'13-22               ;PBL
'000000000004741572;167900           ;BACALAO FILETE C/P S/E 85+G IQ;20221231;10;135;0;   ;M;110;337;0;'13-22               ;PBL
'384105000261709204;37090            ;POLLO CONTRAMUSLO S/HUESO CONG;20240430;10;96;0;   ;M;110;52;0;'1529                ;PBL
'384105000261709211;6868             ;BOQUERON REBOZADO CONG        ;20241030;10;99;99;   ;M;110;276;0;'054324              ;PBL
'384105000261709228;6868             ;BOQUERON REBOZADO CONG        ;20241031;10;99;41;   ;M;110;276;0;'054324              ;PBL
'384105000261709235;6155             ;BANANA MADURA 8/10 UN/KG      ;20230101;40;1;0;   ;E;1;3;1;'4401                ;PBL
'384105000261709358;93522            ;TORTILLA FRANCESA UD 75G CONG*;20240428;10;88;0;   ;M;110;171;0;'2301                ;PBL
'384105000261709365;93522            ;TORTILLA FRANCESA UD 75G CONG*;20240428;10;88;0;   ;M;110;171;0;'2301                ;PBL
'384105000261709372;94030            ;TORTILLA FRANCESA UD 85G CONG ;20240428;10;88;0;   ;M;110;184;0;'2301                ;PBL
'384105000261709419;8295             ;CERDO CINTA LOMO FILETE 50G*  ;20221107;40;2;0;   ;E;5;14;1;'2243202006          ;PBL
'384105000261709433;61916            ;CERDO PANCETA LONCHAS         ;20221107;40;1;0;   ;E;5;11;1;'2243202016          ;PBL
'384105000261709440;81928            ;QUESO FRESCO DE BURGOS 62,5G  ;20221202;40;36;0;   ;E;5;6;1;'143                 ;PBL
'384105000261673512;67990            ;ATUN ACEITE GIRASOL BOL 1KG   ;20250509;10;53;0;   ;E;3;5;0;'12922               ;PBL
'384105000261627348;158100           ;POLLO MUSLO 220-260G IQF CONG ;20231223;10;47;4;   ;M;110;505;0;'17983               ;PBL
'384105000261704988;167900           ;BACALAO FILETE C/P S/E 85+G IQ;20221031;10;3;0;COR;M;110;337;0;'38-21               ;PBL
'384105000261704995;32947            ;CERDO HUESOS JAMON CORTADOS*  ;20230929;40;1;0;   ;E;4;12;1;'220929              ;PBL
'384105000261705039;33112            ;LACON AHUMADO PIEZA ENTERA    ;20230217;40;5;0;   ;E;4;9;0;'4212                ;PBL
'384105000261705077;33335            ;LECH ICEBERG 550G             ;20221203;10;200;0;   ;E;3;2;0;'2294                ;PBL
'384105000261665166;31825            ;FOGONERO PORCION 80-120G CONG*;20240221;10;60;0;   ;M;110;15;0;'130722              ;PBL
'384105000261705190;37454            ;QUESO FRESCO BURGOS BARRA 1KG ;20221223;10;144;0;   ;E;4;30;0;'2973592322          ;PBL
'384105000261705206;71273            ;QUESO FRESCO BURGOS S/SAL 1KG ;20221223;40;22;0;   ;E;4;24;1;'2972701322          ;PBL
'384105000261090012;154664           ;GEL HIDROALCOHOLICO           ;20230301;40;90;0;   ;E;1;2;2;'01042020A9          ;PBL
'384105000261701406;32947            ;CERDO HUESOS JAMON CORTADOS*  ;20230909;40;2;0;   ;E;4;12;1;'220909              ;PBL
'384105000261701567;10664            ;ZANAHORIA PRIMERA GRANEL KG   ;20221222;10;141;0;   ;E;3;6;0;'1026                ;PBL
'384105000261701659;141155           ;GALLO SAN PEDRO FILETE S/PIEL ;20240131;10;192;0;   ;M;110;544;0;'310122              ;PBL
'384105000261673673;104361           ;CERDO CINTA LOMO ENTERA ELABOR;20240912;10;56;0;   ;M;110;200;0;'64190               ;PBL
'384105000261673680;33538            ;FILETE LOMO CERDO 30 GR. CG.  ;20240317;10;50;1;   ;M;110;317;0;'64208               ;PBL
'384105000261679996;92242            ;TERNERA HUESOS CORTADOS CONG* ;20240322;10;45;3;   ;M;110;466;0;'64360               ;PAZ
'384105000261693862;33904            ;MANZANA GOLDEN 3/4 UN/KG*     ;20221214;10;24;0;   ;E;2;7;0;'00000323            ;PBL
'384105000261403669;37605            ;CALAMAR RABAS REBOZADAS CONG  ;20230331;10;1;0;   ;M;110;58;0;'21023               ;PBL
'384105000261403676;37605            ;CALAMAR RABAS REBOZADAS CONG  ;20230430;10;1;0;   ;M;110;58;0;'31723               ;PBL
'384105000261404154;90973            ;HAMBURGUESA ATUN PREMIUM 4KG  ;20221231;10;2;0;   ;M;110;515;0;'44922               ;PBL
'384105000261639631;4399             ;QUESO MEZCLA CURADO KG        ;20230715;40;7;0;   ;E;4;21;0;'0753665V22          ;PBL
'384105000261639655;37501            ;QUESO OVEJA CURADO KG*        ;20230722;40;9;0;   ;E;4;18;0;'0771637V22          ;PBL
'384105000261709457;39342            ;TOMATE ENSALADA G GRANEL      ;20230101;40;88;0;   ;E;3;16;0;'5176                ;PBL
'384105000261709464;39367            ;TOAMTE MADURO MM GRANELL      ;20230101;40;88;0;   ;E;3;18;0;'5177                ;PBL
'384105000261709471;89269            ;TOMATE CHERRY UNIDAD          ;20230101;40;180;0;   ;E;4;27;1;'4306                ;PBL
'384105000261701802;91358            ;SANDIA NEGRA S/PEPITAS UNIDAD ;20221222;40;28;0;   ;E;3;17;0;'0731872             ;PBL
'384105000261686482;32387            ;GUISANTES PF CONG*            ;20240830;10;47;10;   ;M;110;17;0;'2242                ;PBL
'384105000261686499;33775            ;MAIZ GRANO DULCE PF CONG*     ;20240821;10;44;0;   ;M;110;29;0;'2233                ;PBL
'384105000261686505;5257             ;ACELGA HOJA PORCIONES PF CONG*;20240927;10;38;17;   ;M;110;22;0;'2210                ;PBL
